MAG_ID,Stage I,Stage II,Stage III
bin.151,0.0,0.9714285714285714,0.125
bin.216,0.0,0.4857142857142857,0.25
bin.239,0.0,0.6,0.0
bin.111,0.0,0.4857142857142857,0.0
bin.214,0.0,0.4857142857142857,0.325
bin.189,0.0,0.6285714285714286,0.0
bin.140,0.0,0.4857142857142857,0.95
bin.24,0.0,0.4857142857142857,0.45
bin.181,0.6666666666666666,0.2,0.2
