depth_bin,HA/O,AC/CAM,B/FD,F/SIM,MG,SR/SR,NR/D,Stage I_raw,Stage I_soft,Stage II_raw,Stage II_soft,Stage III_raw,Stage III_soft
0-1.5 m,0.0,0.006004581766200591,0.24457950738236398,0.041746619071158675,0.11538604160118736,0.0,0.0034311895806860516,0.006004581766200591,0.014604431132355744,0.2863261264535226,0.696406570516332,0.11881723118187341,0.2889889983513122
1.5-3.0 m,0.0,0.003347565772056658,0.24925359765261143,0.022944672995656477,0.13001180571126345,0.0,0.0019128947268895187,0.003347565772056658,0.008215479327329458,0.2721982706482679,0.668019515587228,0.13192470043815296,0.32376500508544254
3.0-5.0 m,0.0,0.0016778968019773841,0.24976860638291976,0.013571469342658207,0.12693194001516422,0.0,0.0009587981725585052,0.0016778968019773841,0.004270449486657665,0.26334007572557794,0.670232215636491,0.12789073818772273,0.32549733487685123
